FSTATE,FCOUNTY,FPLACE,FIPS_ST,FIPS_COUNTY,FIPS,ORI9,ORI7,NAME,UA,STATENAME,COUNTYNAME,UANAME,PARTOF,AGCYTYPE,SUBTYPE1,SUBTYPE2,GOVID,LG_NAME,ADDRESS_NAME,ADDRESS_STR1,ADDRESS_STR2,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,REPORT_FLAG,CSLLEA08_ID,LEMAS_ID,U_STATENO,U_CNTY,U_POPGRP,U_TPOP,LG_POPULATION,CSLLEA_SUB,COMMENT,INTPTLAT,INTPTLONG,CONGDIST1,CONGDIST2_18,DISTNAME,SOURCE_CSLLEA2008,SOURCE_UCR2010,SOURCE_UCR2011,SOURCE_UCR2012,SOURCE_NCIC2012,SOURCE_VENDOR
(06) California,1,26000,06,001,06001,-1       ,-1     ,OHLONE COLLEGE POLICE                             ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(006) Special jurisdiction,(001) Public buildings/facilities,(011) Four-year university,55001704,OHLONE COMMUNITY COLLEGE DISTRICT                 ,OHLONE COLLEGE POLICE                                                      ,43600 MISSION BLVD                     ,                                              ,FREMONT                   ,CA,94539,(0) Record has no ORI,13206920,-1              ,(-1) Not in UCR,-1,-1,-1,888888888,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,15,17                                                ,Northern District of California   ,1,0,0,0,0,0
(06) California,1,26000,06,001,06001,CA0012600,-1     ,FREMONT-NEWARK COMMUNITY COLLEGE PD FREMONT       ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(006) Special jurisdiction,(001) Public buildings/facilities,(012) Two-year college,55001704,OHLONE COMMUNITY COLLEGE DISTRICT                 ,FREMONT-NEWARK COMMUNITY COLLEGE PD                                        ,                                       ,                                              ,FREMONT                   ,CA,     ,(2) ORI reported 0 offenses or did not report,-1,-1              ,(-1) Not in UCR,-1,-1,-1,888888888,(0) Exclude record,                                                                                                                                                                                                        ,37.648134,-121.913291,15,17                                                ,Northern District of California   ,0,0,0,0,1,0
(06) California,1,33000,06,001,06001,CA0011500,CA00115,CALIFORNIA STATE UNIVERSITY - EAST BAY POLICE     ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(006) Special jurisdiction,(001) Public buildings/facilities,(011) Four-year university,50000000,State of California                               ,CALIFORNIA STATE UNIVERSITY - EAST BAY POLICE                              ,25800 CARLOS BEE BLVD                  ,LI 1063                                       ,HAYWARD                   ,CA,94542,(1) ORI reported 1+ offenses,13108910,0500000000204600,(04) California,1,7 ,0,888888888,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,15,                                                  ,Northern District of California   ,1,1,1,1,1,0
(06) California,1,33000,06,001,06001,CA0010600,CA00106,HAYWARD POLICE DEPARTMENT                         ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(000) Local police department,(888) Not applicable,(888) Not applicable,52001006,HAYWARD CITY                                      ,HAYWARD POLICE DEPARTMENT                                                  ,300 WEST WINTON AVENUE                 ,                                              ,HAYWARD                   ,CA,94544,(1) ORI reported 1+ offenses,13469640,0520010060260100,(04) California,1,2 ,147424,144186,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,15,                                                  ,Northern District of California   ,1,1,1,1,1,1
(06) California,1,33000,06,001,06001,CA0019900,CA00199,CHP HAYWARD                                       ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(1) Part of larger agency,(005) State law enforcement agency,(888) Not applicable,(888) Not applicable,50000000,State of California                               ,HP: ALAMEDA COUNTY                                                         ,                                       ,                                              ,HAYWARD                   ,CA,94544,(1) ORI reported 1+ offenses,-1,-1              ,(04) California,1,9D,0,888888888,(0) Exclude record,                                                                                                                                                                                                        ,37.648134,-121.913291,15,                                                  ,Northern District of California   ,0,1,1,1,1,0
(06) California,1,33000,06,001,06001,CA0013800,-1     ,CALIFORNIA DEPARTMENT OF COMSUMER AFFAIRS         ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(1) Part of larger agency,(006) Special jurisdiction,(004) Criminal investigations,"(049) Other, multiple types of investigations",50000000,State of California                               ,DEPARTMENT OF CONSUMER AFFAIRS DIVISION OF INVESTIGATION                   ,                                       ,                                              ,HAYWARD                   ,CA,     ,(2) ORI reported 0 offenses or did not report,-1,-1              ,(-1) Not in UCR,-1,-1,-1,888888888,(0) Exclude record,                                                                                                                                                                                                        ,37.648134,-121.913291,15,                                                  ,Northern District of California   ,0,0,0,0,1,0
(06) California,1,41992,06,001,06001,CA0010700,CA00107,LIVERMORE POLICE DEPARTMENT                       ,50527,CALIFORNIA          ,ALAMEDA                          ,"Livermore, CA Urbanized Area                             ",(0) Parent agency,(000) Local police department,(888) Not applicable,(888) Not applicable,52001007,LIVERMORE CITY                                    ,LIVERMORE POLICE DEPARTMENT                                                ,1110 S. LIVERMORE AVENUE               ,                                              ,LIVERMORE                 ,CA,94550,(1) ORI reported 1+ offenses,13836880,0520010070260100,(04) California,1,3 ,82800,80968,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,15,                                                  ,Northern District of California   ,1,1,1,1,1,1
(06) California,1,41992,06,001,06001,CA0012200,CA00122,UNIV OF CA LAWRENCE LIVERMORE LAB PD LIVERMORE    ,50527,CALIFORNIA          ,ALAMEDA                          ,"Livermore, CA Urbanized Area                             ",(0) Parent agency,(006) Special jurisdiction,(001) Public buildings/facilities,(011) Four-year university,50000000,State of California                               ,UN OF CA:LAWRENCE-LIVERMORE LB                                             ,                                       ,                                              ,LIVERMORE                 ,CA,94551,(1) ORI reported 1+ offenses,-1,-1              ,(04) California,1,7 ,0,888888888,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,15,                                                  ,Northern District of California   ,0,1,1,1,1,0
(06) California,1,50916,06,001,06001,CA0010800,CA00108,NEWARK POLICE DEPARTMENT                          ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(000) Local police department,(888) Not applicable,(888) Not applicable,52001008,NEWARK CITY                                       ,NEWARK POLICE DEPARTMENT                                                   ,37101 NEWARK BOULEVARD                 ,                                              ,NEWARK                    ,CA,94560,(1) ORI reported 1+ offenses,13940290,0520010080260100,(04) California,1,4 ,43539,42573,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,17,                                                  ,Northern District of California   ,1,1,1,1,1,1
(06) California,1,53000,06,001,06001,CA0010900,CA00109,OAKLAND POLICE DEPARTMENT                         ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(000) Local police department,(888) Not applicable,(888) Not applicable,52001009,OAKLAND CITY                                      ,OAKLAND POLICE DEPARTMENT                                                  ,455 SEVENTH STREET                     ,                                              ,OAKLAND                   ,CA,94607,(1) ORI reported 1+ offenses,13387330,0520010090250100,(04) California,1,1C,399487,390724,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,1,1,1,1,1,1
(06) California,1,53000,06,001,06001,CA0013300,-1     ,OAKLAND HOUSING AUTHORITY                         ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(006) Special jurisdiction,(001) Public buildings/facilities,(016) Public housing,52001009,OAKLAND CITY                                      ,OAKLAND HOUSING AUTHORITY                                                  ,1180 25TH AVE                          ,                                              ,OAKLAND                   ,CA,94601,(2) ORI reported 0 offenses or did not report,13453740,-1              ,(-1) Not in UCR,-1,-1,-1,888888888,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,1,0,0,0,1,0
(06) California,1,53000,06,001,06001,CA0012100,CA00121,BART POLICE DEPARTMENT                            ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(006) Special jurisdiction,(003) Transportation systems/facilities,(031) Mass transit/railroad system,54001905,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT     ,BART POLICE DEPARTMENT                                                     ,P.O. BOX 12500                         ,                                              ,OAKLAND                   ,CA,94504,(1) ORI reported 1+ offenses,13581450,0540380060200100,(04) California,1,7 ,0,888888888,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,1,1,1,1,1,0
(06) California,1,53000,06,001,06001,CA0013100,CA00131,EAST BAY MUNICIPAL UTIL DIST RANGERS OAKLAND      ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(006) Special jurisdiction,(002) Natural resources/parks and recreation,(029) Multi-function natural resources enforcement,54001010,OAKLAND CITY                                      ,EAST BAY MUNICIPAL UTILITY                                                 ,                                       ,                                              ,CASTRO VALLEY             ,CA,94546,(1) ORI reported 1+ offenses,-1,-1              ,(04) California,1,7 ,0,888888888,(0) Exclude record,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,0,1,1,1,1,0
(06) California,1,53000,06,001,06001,CA0011A00,-1     ,OAKLAND DISTRICT OFFICE                           ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(1) Part of larger agency,(006) Special jurisdiction,(005) Special enforcement,(051) Alcohol/tobacco enforcement,50000000,State of California                               ,OAKLAND DISTRICT OFFICE DEPT OF ALCOHOLIC BEVERAGE CONTROL                 ,                                       ,                                              ,OAKLAND                   ,CA,     ,(2) ORI reported 0 offenses or did not report,-1,-1              ,(-1) Not in UCR,-1,-1,-1,888888888,(0) Exclude record,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,0,0,0,0,1,0
(06) California,1,53000,06,001,06001,CA0012400,-1     ,OAKLAND PARK RANGERS OAKLAND                      ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(006) Special jurisdiction,(002) Natural resources/parks and recreation,(022) Parks and recreational facilities,52001009,OAKLAND CITY                                      ,OAKLAND PARK RANGERS                                                       ,                                       ,                                              ,OAKLAND                   ,CA,     ,(2) ORI reported 0 offenses or did not report,-1,-1              ,(-1) Not in UCR,-1,-1,-1,888888888,(0) Exclude record,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,0,0,0,0,1,0
(06) California,1,53000,06,001,06001,CA0012500,-1     ,PERALTA COMMUN COLLEGE DISTRICT PD OAKLAND        ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(006) Special jurisdiction,(001) Public buildings/facilities,(012) Two-year college,55001701,PERALTA COMMUNITY COLLEGE DISTRICT                ,PERALTA COMMUNITY COLLEGE DISTRICT PD                                      ,                                       ,                                              ,OAKLAND                   ,CA,     ,(2) ORI reported 0 offenses or did not report,-1,-1              ,(-1) Not in UCR,-1,-1,-1,888888888,(0) Exclude record,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,0,0,0,0,1,0
(06) California,1,53000,06,001,06001,CA0013400,-1     ,DMV BAY AREA INVEST OAKLAND                       ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(1) Part of larger agency,(006) Special jurisdiction,(003) Transportation systems/facilities,(035) Commercial/motor vehicle enforcement,50000000,State of California                               ,DEPARTMENT OF MOTOR VEHICLE BAY AREA INVESTIGATIONS                        ,                                       ,                                              ,OAKLAND                   ,CA,     ,(2) ORI reported 0 offenses or did not report,-1,-1              ,(-1) Not in UCR,-1,-1,-1,888888888,(0) Exclude record,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,0,0,0,0,1,0
(06) California,1,53000,06,001,06001,CA0013500,-1     ,SOUTHERN PACIFIC TRANSPORTATION CO PD OAKLAND     ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(006) Special jurisdiction,(003) Transportation systems/facilities,(031) Mass transit/railroad system,50000000,State of California                               ,SOUTHERN PACIFIC TRANSPORTATION COMPANY POLICE DEPARTMENT                  ,                                       ,                                              ,OAKLAND                   ,CA,     ,(2) ORI reported 0 offenses or did not report,-1,-1              ,(-1) Not in UCR,-1,-1,-1,888888888,(0) Exclude record,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,0,0,0,0,1,0
(06) California,1,53000,06,001,06001,CA0013900,-1     ,OAKLAND UNIFIED SCHOOL DIST POLICE SAF DEPT       ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(006) Special jurisdiction,(001) Public buildings/facilities,(014) Public school district,55001027,OAKLAND UNIF SCH DIST                             ,OAKLAND UNIFIED SCHOOL DISTRICT POLICE AND SAFETY DEPARTMENT               ,                                       ,                                              ,OAKLAND                   ,CA,     ,(2) ORI reported 0 offenses or did not report,-1,-1              ,(-1) Not in UCR,-1,-1,-1,888888888,(0) Exclude record,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,0,0,0,0,1,0
(06) California,1,53000,06,001,06001,CA0018900,-1     ,DISTRICT ATTORNEY OAKLAND                         ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(006) Special jurisdiction,(004) Criminal investigations,"(049) Other, multiple types of investigations",50000000,State of California                               ,DISTRICT ATTORNEY                                                          ,                                       ,                                              ,OAKLAND                   ,CA,     ,(2) ORI reported 0 offenses or did not report,-1,-1              ,(-1) Not in UCR,-1,-1,-1,888888888,(0) Exclude record,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,0,0,0,0,1,0
(06) California,1,53000,06,001,06001,CA0019100,-1     ,MARSHAL'S OFFICE OAKLAND                          ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(007) Constable/Marshal,(888) Not applicable,(888) Not applicable,52001009,OAKLAND CITY                                      ,MARSHALS OFFICE                                                            ,                                       ,                                              ,OAKLAND                   ,CA,     ,(2) ORI reported 0 offenses or did not report,-1,-1              ,(-1) Not in UCR,-1,-1,-1,888888888,(0) Exclude record,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,0,0,0,0,1,0
(06) California,1,56938,06,001,06001,CA0011000,CA00110,PIEDMONT POLICE DEPARTMENT                        ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(000) Local police department,(888) Not applicable,(888) Not applicable,52001010,PIEDMONT CITY                                     ,PIEDMONT POLICE DEPARTMENT                                                 ,403 HIGHLAND AVENUE                    ,                                              ,PIEDMONT                  ,CA,94611,(1) ORI reported 1+ offenses,13494040,0520010100260100,(04) California,1,5 ,10909,10667,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,1,1,1,1,1,1
(06) California,1,57792,06,001,06001,CA0011100,CA00111,PLEASANTON POLICE DEPARTMENT                      ,19504,CALIFORNIA          ,ALAMEDA                          ,"Concord, CA Urbanized Area                               ",(0) Parent agency,(000) Local police department,(888) Not applicable,(888) Not applicable,52001011,PLEASANTON CITY                                   ,PLEASANTON POLICE DEPARTMENT                                               ,4833 BERNAL AVENUE                     ,                                              ,PLEASANTON                ,CA,94566,(1) ORI reported 1+ offenses,13430640,-1              ,(04) California,1,3 ,71875,70285,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,15,                                                  ,Northern District of California   ,1,1,1,1,1,1
(06) California,1,64000,06,001,06001,CA0013600,-1     ,CA DEPT OF JUSTICE BUREAU OF MEDI-CAL FRAUD       ,77068,CALIFORNIA          ,ALAMEDA                          ,"Sacramento, CA Urbanized Area                            ",(1) Part of larger agency,(006) Special jurisdiction,(004) Criminal investigations,(044) Fraud investigations,50000000,State of California                               ,DEPARTMENT OF JUSTICE BUREAU OF MEDI-CAL FRAUD                             ,                                       ,                                              ,SACRAMENTO                ,CA,     ,(2) ORI reported 0 offenses or did not report,-1,-1              ,(-1) Not in UCR,-1,-1,-1,888888888,(0) Exclude record,                                                                                                                                                                                                        ,37.648134,-121.913291,06,                                                  ,Northern District of California   ,0,0,0,0,1,0
(06) California,1,67000,06,001,06001,CA0019400,-1     ,CALIFORNIA DEPARTMENT OF JUSTICE                  ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(1) Part of larger agency,(005) State law enforcement agency,(888) Not applicable,(888) Not applicable,50000000,State of California                               ,CALIFORNIA DEPARTMENT OF JUSTICE                                           ,                                       ,                                              ,SAN FRANCISCO             ,CA,     ,(2) ORI reported 0 offenses or did not report,-1,-1              ,(-1) Not in UCR,-1,-1,-1,888888888,(0) Exclude record,                                                                                                                                                                                                        ,37.648134,-121.913291,12,13 14                                             ,Northern District of California   ,0,0,0,0,1,0
(06) California,1,68084,06,001,06001,CA0011200,CA00112,SAN LEANDRO POLICE DEPARTMENT                     ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(000) Local police department,(888) Not applicable,(888) Not applicable,52001012,SAN LEANDRO CITY                                  ,SAN LEANDRO POLICE DEPARTMENT                                              ,901 E. 14TH STREET                     ,                                              ,SAN LEANDRO               ,CA,94577,(1) ORI reported 1+ offenses,11489190,0520010120260100,(04) California,1,3 ,86869,84950,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,1,1,1,1,1,1
(06) California,1,81204,06,001,06001,CA0011300,CA00113,UNION CITY POLICE DEPARTMENT                      ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(000) Local police department,(888) Not applicable,(888) Not applicable,52001501,UNION CITY CITY                                   ,UNION CITY POLICE DEPARTMENT                                               ,34009 ALVARADO-NILES ROAD              ,                                              ,UNION CITY                ,CA,94587,(1) ORI reported 1+ offenses,13243020,-1              ,(04) California,1,3 ,71089,69516,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,15,                                                  ,Northern District of California   ,1,1,1,1,1,1
(06) California,1,99001,06,001,06001,CA0010000,CA00100,ALAMEDA COUNTY SHERIFF'S OFFICE                   ,-1,CALIFORNIA          ,ALAMEDA                          ,_Not a Census place                                      ,(0) Parent agency,(001) Sheriff's office,(888) Not applicable,(888) Not applicable,51001001,ALAMEDA COUNTY                                    ,ALAMEDA COUNTY SHERIFF'S OFFICE                                            ,"1401 LAKESIDE DR, STE 1200             ",                                              ,OAKLAND                   ,CA,94612,(1) ORI reported 1+ offenses,11629140,-1              ,(04) California,1,9A,144442,1510271,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,13,15 17                                             ,Northern District of California   ,1,1,1,1,1,1
(06) California,1,99001,06,001,06001,CA0011600,CA00116,UPRR: ALAMEDA COUNTY                              ,-1,CALIFORNIA          ,ALAMEDA                          ,_Not a Census place                                      ,(0) Parent agency,(006) Special jurisdiction,(003) Transportation systems/facilities,(031) Mass transit/railroad system,50000000,State of California                               ,ALAMEDA COUNTY                                                             ,                                       ,                                              ,OAKLAND                   ,CA,94607,(1) ORI reported 1+ offenses,-1,-1              ,(04) California,1,9D,0,888888888,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,13,15 17                                             ,Northern District of California   ,0,1,1,1,0,0
